Unnamed: 0;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
2022-01-01 00:00:00;245.41059646118725;500.0;;130.0;;0.35;;
2022-01-01 01:00:00;249.9717936563497;500.0;;130.0;;0.35;;
2022-01-01 02:00:00;263.3445483639848;500.0;;130.0;;0.35;;
2022-01-01 03:00:00;284.6175329700781;500.0;;130.0;;0.35;;
2022-01-01 04:00:00;312.3410345953065;500.0;;130.0;;0.35;;
2022-01-01 05:00:00;344.6257506319973;500.0;;130.0;;0.35;;
2022-01-01 06:00:00;379.2715415946161;500.0;;130.0;;0.35;;
2022-01-01 07:00:00;413.9173669897991;500.0;;130.0;;0.35;;
2022-01-01 08:00:00;446.2021863241644;500.0;;130.0;;0.35;;
2022-01-01 09:00:00;473.9258601121247;500.0;;130.0;;0.35;;
2022-01-01 10:00:00;495.1990857459188;500.0;;130.0;;0.35;;
2022-01-01 11:00:00;508.57215034609936;500.0;;130.0;;0.35;;
2022-01-01 12:00:00;513.1337262984925;500.0;;130.0;;0.35;;
2022-01-01 13:00:00;508.5729767250514;500.0;;130.0;;0.35;;
2022-01-01 14:00:00;495.2007385033977;500.0;;130.0;;0.35;;
2022-01-01 15:00:00;473.9283392472804;500.0;;130.0;;0.35;;
2022-01-01 16:00:00;446.2054918357212;500.0;;130.0;;0.35;;
2022-01-01 17:00:00;413.92149887605655;500.0;;130.0;;0.35;;
2022-01-01 18:00:00;379.27649985344857;500.0;;130.0;;0.35;;
2022-01-01 19:00:00;344.631535260854;500.0;;130.0;;0.35;;
2022-01-01 20:00:00;312.34764559121135;500.0;;130.0;;0.35;;
2022-01-01 21:00:00;284.62497032963;500.0;;130.0;;0.35;;
2022-01-01 22:00:00;263.3528120833576;500.0;;130.0;;0.35;;
2022-01-01 23:00:00;249.98088373129207;500.0;;130.0;;0.35;;
2022-01-02 00:00:00;245.42051288702257;500.0;;130.0;;0.35;;
2022-01-02 01:00:00;249.9825364279765;500.0;;130.0;;0.35;;
2022-01-02 02:00:00;263.3561174758763;500.0;;130.0;;0.35;;
2022-01-02 03:00:00;284.6299284162825;500.0;;130.0;;0.35;;
2022-01-02 04:00:00;312.3542563694469;500.0;;130.0;;0.35;;
2022-01-02 05:00:00;344.6397987272714;500.0;;130.0;;0.35;;
2022-01-02 06:00:00;379.28641600379694;500.0;;130.0;;0.35;;
